359838	4948	7.22857	1.8889	30	45	2	5	4
338093	1495	7.1457	2.7234	75	75	2	3	2
140934	386	7.27937	2.1282	30	30	2	4	2
359871	145	8.18919	3.4097	60	120	2	4	3–4
230802	80	7.73688	1.7661	30	45	2	4	2
329722	Not Ranked	5.91176	1	15	15	4	5	5
281549	994	7.50859	3.0174	60	120	2	4	3
332386	1325	7.05479	2.3735	45	90	2	4	3
172081	378	7.42366	2.3165	45	90	1	4	3
290236	544	7.23035	1.6886	30	30	1	5	3–4
295947	49	7.92986	1.8575	30	45	1	4	2–3
84876	15	8.14628	2.9752	30	90	2	4	2
357841	6203	6.96215	2.1	30	60	1	4	2–3
178900	151	7.53613	1.2594	15	15	4	8	6, 8
314503	955	7.22409	1.7521	20	30	2	4	2–3
158899	522	7.0944	1.8351	40	40	3	6	5–6
192153	506	7.36403	2.1567	40	40	1	4	4
20545	3396	6.23057	1.1118	20	20	1	6	2–4
322289	96	8.14818	3.9072	60	120	1	4	3
334986	790	7.67309	2.8962	60	120	1	4	2
261637	Not Ranked	5.30769	0	20	20	(no votes)	(no votes)	
194594	450	7.22466	1.9664	45	45	2	4	4
350184	197	7.6574	2.891	45	90	1	4	2–3
342900	964	8.14964	3.5172	60	240	1	3	2
367966	520	8.24012	2.8581	60	120	1	4	3
199792	38	8.01161	2.8228	40	80	1	4	3
172225	3804	6.06538	1.0833	15	15	3	5	4–5
371932	2945	7.57982	2.2162	40	80	2	4	3
385761	355	7.58892	1.8808	15	30	2	5	2–3
271601	541	7.82991	2.1228	45	90	6	11	8–11
352574	1182	7.37995	2.0536	15	30	1	6	4
336986	377	7.41567	2.1882	60	60	1	5	3
391163	241	7.68638	2.1924	40	60	2	4	2
368432	1236	7.35706	2.5063	60	60	1	4	4
98778	552	7.03717	1.6873	25	25	2	5	4
414317	122	8.0214	2.0056	30	45	1	4	2–3
366013	41	8.03732	2.1918	30	60	1	6	5–6
135116	3991	6.2922	1.4648	20	30	3	5	3–4
306482	4425	7.23247	2.6429	90	120	1	5	3
304285	1560	6.9401	1.2258	15	15	3	6	4–5
324914	2163	7.06219	1.5429	20	30	3	5	4–5
271088	1590	6.9756	2.2371	45	45	2	4	3
281259	161	7.66762	2.3578	60	90	1	4	3
254640	152	7.59839	1.0378	20	60	4	7	6–7
284378	47	8.40742	4.3017	60	180	1	4	3
333255	441	8.02734	2.4841	40	40	1	3	2
374595	1884	7.88023	2.3061	40	60	2	2	2
245655	347	7.73653	2.2424	45	60	4	5	5
368046	6297	7.4977	2.3333	45	60	2	5	2
173064	817	7.72895	3.7626	60	180	1	4	1
171668	604	7.12789	1.9757	30	30	3	5	4–5
356033	505	7.47185	2.1506	45	60	1	6	4–6
323613	2141	7.11877	2.254	45	45	1	4	2
25292	381	7.39383	3.2506	180	180	2	4	4
300217	1034	7.36089	3.227	60	120	1	4	3
284653	296	7.88898	2.9225	60	60	1	5	2–3
270239	840	7.71582	2.4658	60	120	3	5	4
214293	2623	6.50014	2.0714	60	90	3	5	4–5
195421	249	7.66872	2.8879	90	120	2	4	3
310100	135	8.30927	3.903	90	180	1	5	4
291572	300	7.77041	4.1215	45	150	3	5	4
293835	1509	7.46597	2.2706	60	60	1	4	2
287084	1129	7.09621	1.6788	15	30	3	5	4
342479	6933	6.48962	1.3	10	30	2	2	2
319910	582	8.01962	3.0352	30	60	2	2	2
253759	1518	7.21149	2.44	50	70	2	5	4
300531	219	7.6803	2.6458	45	60	1	4	2–3
266524	155	7.65252	2.1169	30	60	1	4	3
218603	721	6.9597	2.2581	30	60	2	4	3
417197	1728	7.78182	2.0408	45	60	2	4	3
307002	613	7.41857	1.9013	10	30	1	4	2
332772	94	8.12022	3.4289	90	120	1	4	3
237182	30	8.0732	3.8142	60	90	3	4	4
22245	2226	6.70924	1.6624	20	30	2	2	2
298065	1051	7.14769	2.1269	45	45	2	4	2
369142	2901	7.10361	1.2941	20	40	2	4	4
418059	338	8.37254	3.7108	40	160	1	4	3
373106	40	8.19041	2.0544	15	15	2	2	2
255984	59	8.16875	3.2432	60	1200	1	3	2
40692	376	7.20227	2.3481	40	80	2	5	4
162886	10	8.34259	4.0695	90	120	1	4	2
235375	2052	6.77028	1.3614	20	20	1	4	2
251658	484	7.29753	1.8191	15	20	1	2	1
161614	489	7.44061	2.1168	45	45	3	5	4–5
236709	5133	6.33669	1.4545	30	60	2	4	3
284083	77	7.78646	1.9555	20	20	3	5	4
411567	1321	7.59532	1.7027	20	20	4	6	5
350933	417	7.67827	2.0426	45	45	1	4	2
368058	1062	7.29245	2.8033	75	75	2	4	3
358216	6080	7.57752	3.1852	90	120	1	3	1
146508	311	7.36972	2.5874	90	90	2	4	4
123540	783	6.92006	1.7417	45	45	2	5	4
288513	1566	6.95839	1.3556	15	20	1	4	2
353288	532	7.58681	1.7358	30	60	1	4	3
352515	700	7.35906	1.0413	15	15	3	6	4
290484	511	8.11675	3.2545	60	90	1	4	2
252399	1847	7.43016	3.7167	60	120	3	5	4
315695	1770	7.57262	2.2182	60	90	2	8	6
334065	748	7.33573	2.078	45	60	1	4	2–3
361240	5960	7.02239	1.8571	30	30	2	4	4
337627	131	8.55952	4.6371	90	240	1	4	3
195043	1752	6.7035	1.3134	30	30	2	4	3–4
339789	201	7.93437	2.4709	25	30	1	6	2–4
319320	6183	7.039	1.8462	30	45	1	4	2–3
271324	168	7.65837	2.321	45	45	1	5	4
269146	4011	6.62417	1.5333	15	35	2	4	3–4
